MovieId,MovieName,ReleaseDate,IMDBScore,RentCost,CategoryId,DirectorId
1,BangkokZombie,05-12-02,6,30,11,8
2,Stein's Door,27-02-99,10,20,2,4
3,The Pool 2,20-12-08,7,20,5,3
4,Re: One Two Three,23-12-95,10,20,2,4
5,Going to Study by plane,14-06-65,5,20,16,5
6,Arrow Art Offline,18-11-51,5,20,2,4
7,KU Redemption,30-12-64,4,20,4,3
8,Jungle Gump,06-03-89,4,30,7,6
9,Club of Legend,24-10-11,6,20,7,10
10,Yourscraft,16-11-56,4,30,5,7
11,The Snake Snake Fish Fish,13-01-81,6,30,8,1
12,Defend on Giant,27-08-09,8,20,15,7
13,Noodle Panda 4,07-12-90,4,20,2,9
14,Jattis Jaroen,05-11-79,3,20,6,4
15,Rayong Revengers,05-01-71,6,20,9,10
16,Chatbest : Infinite Programming,01-09-61,4,30,10,1
17,Good 2018,12-11-17,6,20,16,4
18,Narm vs Pythonian,17-03-51,3,20,10,4
19,Hate Dead Moonlight,20-04-19,7,30,6,9
20,Half Metal Enchanter,04-11-50,2,20,15,8
21,BestBell Forbidden Love,19-12-60,4,20,8,4
22,Diamond Man,01-09-52,7,20,1,3
23,Captain Esan,28-06-64,9,20,1,8
24,Jump Queen,04-07-65,7,20,8,2
25,Missing Science,01-05-62,10,30,11,4
26,Karate Kaisen,10-02-62,5,30,16,8
27,Minor Theft Manual 6,23-11-61,9,30,10,9
28,Zero Kick Woman,18-08-55,9,20,7,9
29,Poker War,12-05-82,6,30,16,7
30,Once I am 13 years old boy ,01-05-61,9,30,4,4
